name		fast, 1.98, -40.0	fast, 1.98, .0	typical, 1.80, 25.0	slow, 1.62, 125.0
S		N		N		N		N
# rf2p_512x64_4_50 words=512 bits=64 mux=4 drive=3 pipeline=No frequency=50.000 ring width=10
geomx     	1053.900  	1053.900  	1053.900  	1053.900  
geomy     	430.130   	430.130   	430.130   	430.130   
ring_size 	21.200    	21.200    	21.200    	21.200    
icc_a     	4.716     	4.761     	4.219     	3.750     
icc_b     	5.154     	5.220     	4.534     	3.963     
icc_peak_a	151.587   	141.909   	95.712    	53.075    
icc_peak_b	149.678   	143.482   	94.715    	53.397    
icc_desel_a	0.565     	0.571     	0.488     	0.454     
icc_desel_b	0.565     	0.571     	0.488     	0.454     
icc_standby	0.012     	0.024     	0.020     	0.041     
tcyca     	1.558     	1.640     	2.286     	3.759     
tcycb     	1.545     	1.613     	2.188     	3.379     
taa       	1.153     	1.198     	1.703     	2.782     
tasa      	0.242     	0.264     	0.414     	0.847     
tasb      	0.228     	0.248     	0.396     	0.823     
taha      	0.008     	0.010     	0.018     	0.044     
tahb      	0.010     	0.011     	0.020     	0.052     
tcsa      	0.287     	0.303     	0.413     	0.721     
tcsb      	0.276     	0.293     	0.399     	0.682     
tcha      	0.000     	0.000     	0.000     	0.000     
tchb      	0.000     	0.000     	0.000     	0.000     
tdsb      	0.000     	0.000     	0.000     	0.028     
tdhb      	0.101     	0.108     	0.158     	0.294     
tckha     	0.103     	0.110     	0.151     	0.250     
tckhb     	0.098     	0.104     	0.141     	0.236     
tckla     	0.149     	0.161     	0.236     	0.448     
tcklb     	0.129     	0.140     	0.201     	0.377     
tcwbcra   	0.743     	0.783     	1.085     	1.809     
tcracwb   	0.750     	0.787     	1.113     	1.878     
tckr      	4.000     	4.000     	4.000     	4.000     
load_qa   	0.757     	0.786     	1.058     	1.555     
icap_aa   	0.052     	0.052     	0.051     	0.050     
icap_ab   	0.052     	0.052     	0.051     	0.050     
icap_db   	0.003     	0.003     	0.003     	0.003     
icap_clka 	0.093     	0.094     	0.092     	0.089     
icap_clkb 	0.098     	0.098     	0.097     	0.094     
icap_cena 	0.004     	0.004     	0.004     	0.004     
icap_cenb 	0.003     	0.003     	0.003     	0.003     
pwn_ck    	10.000    	10.000    	10.000    	10.000    
vn_ck     	0.241     	0.241     	0.268     	0.227     
vn_pwr    	0.195     	0.195     	0.180     	0.165     
vn_gnd    	0.195     	0.195     	0.180     	0.165     
