chip_id	generated	forwarded	local_drops	passthrough_drops	total_drops	enq_local_ok	enq_neigh_ok	fifo_peak_observed
0	1223	18671	0	0	0	1223	17448	3
1	1266	17448	0	0	0	1266	16182	3
2	1220	16182	0	0	0	1220	14963	3
3	1274	14963	0	0	0	1274	13690	3
4	1247	13690	0	0	0	1247	12443	3
5	1154	7530	0	0	0	1154	6376	2
6	1236	8766	0	0	0	1236	7530	3
7	1216	9982	0	0	0	1216	8766	3
8	1230	11211	0	0	0	1230	9982	3
9	1232	12443	0	0	0	1232	11211	3
10	1298	6376	0	0	0	1298	5078	4
11	1201	5078	0	0	0	1201	3877	2
12	1251	3877	0	0	0	1251	2626	3
13	1310	2626	0	0	0	1310	1316	2
14	1316	1316	0	0	0	1316	0	1
