tick	chip_0	chip_1	chip_2	chip_3	chip_4	chip_5	chip_6	chip_7	chip_8	chip_9	chip_10	chip_11	chip_12	chip_13	chip_14
0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0
1	1	0	0	0	0	1	0	1	0	0	0	2	0	0	0
2	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0
3	1	0	0	0	1	1	1	1	0	1	1	1	1	0	1
4	0	0	0	1	1	1	1	1	1	0	1	1	0	1	0
5	0	0	1	1	1	1	2	1	1	1	1	0	1	1	0
6	0	1	1	1	2	1	2	1	1	1	0	2	1	0	1
7	1	1	1	1	2	0	2	2	1	1	1	2	0	1	0
8	1	1	1	1	2	1	1	2	1	1	1	1	1	0	0
9	1	1	1	1	2	1	1	3	1	1	1	1	0	0	0
10	1	1	1	1	2	1	1	3	1	1	1	0	0	0	0
11	1	1	2	1	2	1	1	3	1	1	0	1	0	0	0
12	1	2	2	1	2	0	1	3	1	2	2	0	0	0	0
13	1	2	2	1	2	1	0	3	1	2	1	0	0	0	1
14	1	2	3	1	2	1	1	3	1	3	0	0	1	1	1
15	1	2	3	1	2	0	1	3	1	3	0	1	1	1	0
16	1	2	3	1	2	1	1	4	1	3	1	2	1	0	0
17	1	2	3	1	2	1	1	4	1	3	1	2	0	0	0
18	1	2	3	1	2	1	1	4	1	3	2	2	0	0	0
19	1	2	3	1	2	2	1	4	1	3	2	1	0	0	0
