tick	chip_0	chip_1	chip_2	chip_3	chip_4	chip_5	chip_6	chip_7	chip_8	chip_9	chip_10	chip_11	chip_12	chip_13	chip_14
0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0
1	1	0	0	0	0	1	0	1	0	0	0	2	0	0	0
2	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0
3	1	0	0	0	1	1	1	1	0	1	1	1	1	0	1
4	0	0	0	1	1	1	1	1	1	0	1	1	0	1	0
5	0	0	1	1	1	1	2	1	1	1	1	0	1	1	0
6	0	1	1	1	2	1	2	1	1	1	0	2	1	0	1
7	1	1	1	1	2	0	2	2	1	1	1	2	0	1	0
8	1	1	1	1	2	1	1	2	1	1	1	1	1	0	0
9	1	1	1	1	2	1	1	3	1	1	1	1	0	0	0
10	1	1	1	1	2	1	1	3	1	1	1	0	0	0	0
11	1	1	2	1	2	1	1	3	1	1	0	1	0	0	0
12	1	2	2	1	2	0	1	3	1	2	2	0	0	0	0
13	1	2	2	1	2	1	0	3	1	2	1	0	0	0	1
14	1	2	3	1	2	1	1	3	1	3	0	0	1	1	1
15	1	2	3	1	2	0	1	3	1	3	0	1	1	1	0
16	1	2	3	1	2	1	1	4	1	3	1	2	1	0	0
17	1	2	3	1	2	1	1	4	1	3	1	2	0	0	0
18	1	2	3	1	2	1	1	4	1	3	2	2	0	0	0
19	1	2	3	1	2	2	1	4	1	3	2	1	0	0	0
20	1	2	3	1	2	2	1	4	1	3	2	0	0	1	0
21	1	2	3	1	2	2	1	4	1	3	1	0	1	0	0
22	1	2	3	1	2	2	1	4	1	3	0	1	0	1	0
23	1	3	3	1	2	1	1	4	1	3	1	0	1	1	0
24	1	3	3	1	2	1	1	4	1	4	0	1	1	0	0
25	1	3	3	1	3	0	1	4	1	4	1	1	0	0	0
26	1	3	3	1	3	1	0	4	1	4	1	0	0	0	1
27	1	3	3	1	3	1	1	3	1	4	0	0	0	2	0
28	2	3	3	1	3	0	1	4	1	4	0	0	2	1	0
29	2	3	3	1	3	0	0	4	1	4	0	1	2	0	0
30	2	3	4	1	3	0	0	3	2	4	1	1	1	1	0
31	2	3	4	1	3	1	0	2	2	5	1	1	1	0	0
32	2	3	4	1	3	1	1	1	2	5	2	1	0	0	0
33	2	3	5	1	3	1	1	2	2	5	2	0	0	0	1
34	2	3	5	1	3	1	1	2	2	5	1	1	0	1	1
35	2	3	5	1	3	1	1	2	2	5	1	0	1	1	0
36	2	3	6	1	3	1	2	2	2	5	0	1	1	0	0
37	2	3	7	1	3	0	2	2	2	5	1	1	0	0	0
38	2	4	7	1	3	1	1	2	2	5	1	0	0	0	0
39	2	4	7	1	3	1	1	2	2	5	0	0	0	0	0
40	2	4	7	1	3	0	1	2	2	5	0	0	0	0	0
41	2	4	7	1	4	0	0	2	3	5	0	0	0	0	0
42	3	4	7	1	4	0	0	1	3	5	0	0	0	0	0
43	3	5	7	1	4	0	0	0	3	6	0	0	0	0	0
44	3	5	7	1	4	0	0	0	2	6	0	0	0	0	0
45	4	6	7	1	4	0	0	0	1	6	0	0	0	0	0
46	4	6	7	1	4	0	0	0	0	6	0	0	0	0	0
47	4	6	7	1	4	0	0	0	1	5	0	0	1	0	0
48	4	6	7	2	4	0	1	0	0	5	0	1	1	1	0
49	4	6	7	2	4	0	0	1	1	4	1	1	1	0	0
50	4	6	7	2	4	1	1	0	2	4	1	1	0	0	1
51	4	6	7	2	4	2	1	1	1	5	1	0	0	1	0
52	4	6	7	2	4	2	1	2	1	6	1	0	1	0	0
53	4	6	7	2	4	2	1	2	1	6	0	1	0	0	0
54	5	6	7	2	4	1	2	2	1	6	1	0	0	0	0
55	5	6	7	2	4	1	2	3	1	7	0	0	0	0	0
56	5	6	7	2	4	0	3	3	1	7	0	1	0	0	0
57	6	6	7	2	4	0	2	4	1	7	1	0	0	0	0
58	6	7	7	2	4	1	1	4	1	7	0	0	0	0	0
59	7	7	7	3	4	0	1	4	1	7	0	0	0	0	0
60	7	7	7	3	4	0	0	4	1	7	0	0	0	0	1
61	7	7	7	3	4	0	0	3	1	7	1	0	0	1	0
62	7	7	7	3	4	1	0	2	1	7	0	0	2	0	0
63	7	7	7	3	5	0	1	1	1	7	1	1	1	0	0
64	7	7	7	3	5	1	0	1	1	7	1	1	0	0	0
65	8	7	7	3	5	1	1	0	1	7	1	0	0	0	0
66	8	7	7	3	6	2	2	1	0	7	0	0	0	0	0
67	8	7	7	3	6	2	2	1	1	6	0	1	0	0	0
68	8	7	7	3	6	1	2	1	1	6	2	0	0	0	0
69	9	7	7	3	6	1	2	1	1	6	1	0	1	0	0
70	9	7	8	3	6	1	2	1	1	7	0	1	0	0	0
71	9	7	8	4	6	0	2	1	1	7	1	0	0	0	0
72	10	7	8	4	7	1	1	1	2	8	0	1	0	0	0
73	10	7	8	4	7	0	1	1	2	8	1	0	0	0	0
74	10	8	8	4	7	1	0	1	2	8	0	0	0	0	0
75	10	8	8	4	7	0	2	0	2	8	0	0	0	0	0
76	10	8	8	4	7	1	1	1	1	8	0	0	0	0	0
77	10	8	8	4	7	0	1	1	1	8	0	0	0	0	0
78	10	8	8	4	7	0	0	1	1	8	1	0	1	0	0
79	10	9	8	4	7	1	0	0	1	8	0	1	0	0	0
80	10	9	9	4	7	0	1	0	0	9	1	0	1	0	0
81	10	9	9	4	8	1	0	1	0	8	0	1	0	0	0
82	10	9	9	5	8	0	1	0	1	7	1	1	0	0	0
83	10	9	9	5	9	1	0	1	0	7	1	0	0	0	0
84	10	9	9	5	9	1	2	0	1	6	0	0	0	0	0
85	10	9	9	5	9	0	2	1	0	6	0	0	0	0	1
86	10	9	10	5	9	0	2	1	1	5	0	0	0	2	0
87	10	9	10	5	9	0	2	1	1	5	0	0	1	1	1
88	10	9	10	6	9	0	1	1	1	5	0	1	1	1	0
89	10	9	10	7	9	1	0	1	1	5	2	1	1	0	0
90	10	9	10	7	9	1	1	0	2	5	2	1	0	0	0
91	10	9	10	7	9	1	1	1	1	5	2	0	0	0	0
92	10	9	10	7	9	1	1	1	1	5	1	0	0	0	0
93	10	9	10	7	9	1	1	1	2	5	0	0	1	1	0
94	10	9	11	7	9	0	1	1	2	5	0	1	1	0	0
95	10	9	11	7	9	0	0	1	2	5	1	1	0	0	0
96	11	9	11	7	9	1	1	0	2	5	1	0	1	0	0
97	11	9	11	7	9	2	2	1	1	5	0	2	0	0	0
98	11	9	11	7	9	1	2	1	1	5	1	1	0	0	0
99	11	9	11	7	9	1	2	1	1	5	1	1	1	0	1
100	11	9	11	7	9	1	2	1	1	5	1	1	0	1	0
101	11	10	11	7	9	1	2	1	1	5	1	0	1	1	0
102	11	10	11	7	9	2	2	1	1	5	0	1	1	0	0
103	11	10	11	7	10	1	2	1	1	5	1	1	0	1	0
104	11	11	12	7	10	1	2	1	1	5	1	0	1	0	0
105	11	11	12	8	10	1	2	1	1	5	0	1	0	0	0
106	11	12	12	8	10	0	2	1	1	5	1	0	0	0	0
107	11	12	12	8	10	1	1	1	1	6	0	0	0	0	0
108	11	12	13	8	10	0	1	1	1	6	0	0	0	0	0
109	11	12	13	8	10	0	0	1	1	6	0	0	0	0	0
110	11	12	13	8	10	0	0	0	1	6	0	0	0	0	0
111	11	12	13	8	10	1	0	1	0	6	0	0	0	0	0
112	11	13	13	8	10	0	1	0	1	5	0	0	0	0	0
113	11	13	13	8	10	0	0	1	0	5	0	0	0	0	1
114	11	13	13	8	10	0	0	0	1	4	0	1	0	1	0
115	11	14	13	8	10	0	0	0	0	4	1	0	1	0	0
116	11	14	13	8	10	1	0	0	0	3	0	1	0	0	0
117	11	14	13	8	10	0	1	0	0	2	1	0	0	0	0
118	11	14	14	8	10	2	0	1	0	1	0	0	0	0	0
119	12	14	14	8	10	1	1	0	1	0	0	0	0	0	0
120	12	14	14	8	9	0	1	1	0	1	0	0	0	0	0
121	12	14	14	8	9	0	0	1	1	1	0	0	0	0	0
122	12	14	14	8	9	0	0	0	1	2	0	0	0	0	0
123	12	14	15	9	9	0	0	0	0	2	0	0	0	0	1
124	12	14	15	9	9	0	0	1	1	1	0	0	0	1	0
125	12	14	15	9	9	0	1	0	1	1	0	0	2	0	0
126	13	14	15	10	9	0	0	1	0	1	0	1	1	1	0
127	13	14	15	10	9	0	0	0	1	0	1	1	1	1	1
128	13	14	15	11	9	1	0	0	0	1	2	1	1	1	0
129	13	15	15	11	9	1	1	1	0	0	3	1	1	0	0
130	13	15	15	11	8	1	1	1	1	0	3	1	0	0	0
131	13	15	15	11	7	2	1	1	1	1	3	0	0	0	0
132	13	15	15	11	7	3	2	1	1	1	2	0	0	0	0
133	13	15	15	11	7	3	3	1	2	1	1	0	0	0	0
134	13	15	15	11	7	3	4	1	2	1	0	0	0	0	0
135	13	15	15	11	7	2	4	1	2	1	0	0	0	0	0
136	14	15	15	11	7	1	4	1	2	1	0	1	0	0	0
137	15	15	15	11	7	0	4	1	2	1	1	0	0	0	0
138	15	15	15	11	8	1	3	1	2	1	0	0	0	0	0
139	15	15	15	12	8	0	3	1	3	1	0	0	0	0	0
140	15	15	15	12	8	0	2	2	3	1	0	1	0	1	0
141	15	15	15	12	8	0	2	2	3	1	1	0	2	0	1
142	15	15	15	12	8	1	1	2	3	1	0	1	1	1	0
143	15	15	15	12	8	0	2	2	3	1	2	1	1	0	0
144	15	15	15	13	8	1	2	2	3	1	2	1	0	0	0
145	15	15	15	13	8	1	2	2	3	1	2	0	0	0	0
146	15	15	15	13	8	1	2	2	3	1	1	0	0	0	0
147	15	15	15	14	8	1	2	3	3	1	0	0	0	0	0
148	15	15	15	14	8	0	2	3	3	1	0	0	0	0	0
149	15	16	15	15	8	0	1	3	3	1	0	0	0	0	0
150	15	16	15	16	8	0	0	3	3	1	0	0	0	0	0
151	15	16	15	16	8	0	0	2	4	2	0	0	0	0	0
152	15	16	15	16	8	0	1	1	5	2	0	0	1	0	0
153	16	16	15	16	8	0	0	1	5	2	0	1	0	0	0
154	16	17	15	16	8	1	0	0	5	2	1	0	0	0	0
155	16	17	15	16	8	1	1	0	5	2	0	0	0	0	0
156	16	18	15	16	8	0	1	1	4	2	0	0	0	0	0
157	16	19	15	16	8	0	0	1	4	2	0	0	0	0	0
158	16	20	15	16	8	0	0	0	4	2	0	0	0	0	1
159	16	20	15	16	8	0	0	0	4	2	0	1	0	1	0
160	16	21	15	16	8	0	1	0	3	2	1	0	1	0	0
161	16	21	15	16	8	1	0	1	2	2	0	1	0	1	0
162	16	21	15	16	8	0	1	1	2	2	1	0	2	0	0
163	16	21	15	16	8	1	0	1	3	2	0	2	2	0	0
164	16	21	15	16	8	0	1	0	4	2	1	2	1	0	0
165	16	21	15	16	8	1	0	1	3	3	1	2	0	0	0
166	16	21	15	16	8	1	1	0	3	3	1	1	0	0	0
167	16	21	15	17	8	1	1	1	2	3	1	0	0	0	0
168	16	22	15	17	8	1	1	1	3	3	0	0	0	0	0
169	16	22	15	17	8	0	2	1	3	3	0	0	0	0	1
170	16	22	15	17	8	0	1	1	3	3	0	0	0	1	0
171	16	22	15	17	8	0	0	1	3	4	0	0	1	0	0
172	17	22	15	17	9	0	0	0	3	4	0	1	0	0	0
173	17	22	15	17	9	0	0	0	2	5	1	0	0	0	1
174	17	22	15	17	9	1	0	0	2	5	0	0	0	2	0
175	17	23	15	17	9	0	1	0	1	5	0	0	2	1	0
176	17	23	15	17	9	0	0	1	0	5	0	1	2	0	1
177	17	23	15	17	9	0	1	0	1	4	1	2	1	2	0
178	17	23	15	17	9	1	1	1	0	4	1	2	2	1	1
179	18	23	15	17	9	1	1	1	2	3	2	2	2	2	0
180	18	24	15	17	10	1	1	1	2	3	2	2	2	1	0
181	18	24	15	17	10	1	1	1	2	3	2	2	2	0	0
182	18	24	15	17	10	1	1	1	3	3	2	2	1	0	0
183	18	24	15	17	10	1	1	1	3	3	2	2	0	1	0
184	18	24	15	17	10	1	1	2	3	3	2	1	1	0	0
185	18	24	15	18	11	1	1	2	3	3	2	1	0	0	0
186	18	24	15	18	12	1	1	2	3	3	2	0	0	0	0
187	18	24	15	19	12	1	2	2	3	3	1	0	0	0	0
188	18	24	15	19	12	1	2	2	3	3	0	1	0	0	0
189	19	24	15	19	12	0	2	2	3	3	1	0	0	1	0
190	19	24	15	19	12	2	1	2	3	3	0	0	1	0	0
191	19	24	15	19	12	2	1	2	3	3	0	1	0	0	0
192	19	24	15	20	12	1	1	2	3	3	1	0	0	0	0
193	19	24	15	20	12	1	1	3	3	3	0	0	0	0	0
194	19	25	15	21	12	0	1	3	3	3	0	0	0	0	0
195	19	25	15	21	12	0	0	3	4	3	0	0	0	0	0
196	19	25	15	21	12	0	0	2	4	4	0	0	0	0	0
197	19	25	15	21	12	0	0	1	5	4	1	0	0	0	0
198	19	25	16	21	12	1	0	0	5	5	0	0	0	0	0
199	19	25	16	21	12	0	1	0	4	5	0	0	0	0	0
200	19	25	17	21	12	0	0	1	3	5	0	0	0	0	0
201	20	25	17	21	13	0	0	0	3	5	0	0	0	0	0
202	20	25	17	21	13	0	0	1	2	5	0	0	0	0	0
203	20	25	17	21	13	0	1	0	2	5	0	1	0	0	0
204	20	25	18	21	13	0	0	1	1	5	1	0	0	0	0
205	20	25	18	22	13	1	1	0	1	5	0	0	0	0	0
206	20	25	18	22	13	1	1	1	0	5	0	0	0	0	0
207	20	25	18	22	13	0	2	2	1	4	0	0	0	0	0
208	20	25	18	23	13	1	1	2	1	4	0	0	0	0	0
209	20	26	19	23	13	0	1	2	1	4	0	0	0	0	0
210	20	26	19	23	13	0	0	2	1	4	0	0	1	0	0
211	20	26	19	24	13	0	0	1	2	5	0	2	0	0	0
212	20	26	19	24	13	0	0	1	2	5	1	1	0	0	0
213	21	26	19	24	13	1	0	0	2	5	1	0	0	0	0
214	21	26	19	24	13	1	1	0	1	5	0	0	1	0	1
215	21	26	19	24	13	0	1	1	0	5	0	1	0	1	0
216	21	26	20	24	13	0	0	1	1	4	1	0	1	0	0
217	21	26	20	24	13	1	0	1	1	4	0	1	0	0	0
218	21	26	20	24	13	0	1	0	1	4	2	0	0	0	0
219	21	26	20	24	13	1	0	1	0	4	1	0	1	0	0
220	21	26	20	24	13	1	2	1	1	3	0	1	0	0	0
221	21	26	20	24	13	0	2	1	1	3	2	0	0	0	0
222	21	26	21	24	13	2	1	2	1	3	1	1	0	0	1
223	22	26	21	24	13	3	1	2	1	3	1	0	0	1	0
224	22	27	22	24	13	3	1	2	1	3	0	0	1	0	0
225	22	27	22	24	13	2	1	2	1	3	0	1	0	1	0
226	23	27	22	24	13	1	1	2	1	3	1	0	1	0	0
227	24	27	23	24	13	1	1	2	1	3	0	1	0	0	0
228	24	27	23	24	13	0	1	2	1	3	1	0	0	1	0
229	25	27	23	24	13	1	0	2	1	3	0	0	1	0	0
230	25	27	23	24	13	0	1	1	1	3	0	1	0	0	0
231	25	27	24	24	13	1	0	1	1	3	1	0	0	0	0
232	25	27	24	24	13	1	2	1	1	3	0	0	0	0	0
233	25	28	24	24	14	0	2	1	1	3	0	0	0	0	0
234	25	28	24	24	14	0	1	1	1	3	0	0	0	0	0
235	25	28	24	24	14	1	0	1	1	3	1	1	0	0	0
236	25	28	24	24	14	1	1	0	2	3	1	0	0	0	1
237	25	28	24	24	14	1	1	1	1	3	0	0	0	1	0
238	25	28	24	24	14	1	2	1	2	3	0	0	1	0	0
239	26	28	24	24	14	0	2	1	2	3	0	1	0	1	0
240	26	28	24	24	14	0	2	1	2	3	1	0	1	0	0
241	26	28	24	24	14	1	1	1	2	3	0	1	0	0	0
242	26	28	24	24	14	1	1	1	2	3	1	0	0	0	0
243	26	28	24	24	14	1	1	1	2	3	0	0	0	0	0
244	26	28	24	24	14	1	1	1	2	3	0	0	0	0	0
245	26	28	24	24	14	0	1	1	2	3	1	0	0	0	0
246	26	28	24	24	14	1	0	1	2	3	0	1	0	0	0
247	26	28	24	24	14	0	1	0	2	3	2	0	0	0	0
248	26	28	24	25	14	1	0	1	1	4	1	0	1	0	0
249	26	28	24	25	14	1	1	0	1	5	0	1	0	0	0
250	27	28	24	25	14	0	1	1	0	5	1	1	0	0	0
251	27	28	25	25	14	1	0	1	1	4	1	0	0	0	0
252	27	28	25	25	14	2	1	0	2	4	0	0	0	0	0
253	27	28	25	25	14	1	1	2	1	4	0	1	0	1	0
254	27	28	25	25	14	0	1	2	1	4	1	0	1	0	0
255	28	28	25	25	14	1	0	2	1	4	0	1	0	0	0
256	28	28	25	26	15	0	1	1	1	4	1	0	1	0	0
257	28	28	25	26	15	1	0	1	1	4	0	2	0	0	1
258	28	28	25	26	15	0	1	0	1	4	1	1	0	2	0
259	28	28	25	27	15	1	0	1	0	5	1	0	1	1	0
260	29	28	25	27	15	1	1	0	1	4	0	1	1	0	0
261	29	28	25	27	15	0	1	1	0	4	1	1	0	0	0
262	29	28	25	27	15	1	0	2	1	3	1	0	0	0	1
263	30	28	25	27	15	1	1	1	1	3	0	0	0	1	0
264	30	28	25	27	15	1	1	1	1	4	0	0	1	0	0
265	30	28	26	27	15	0	1	1	1	4	0	1	0	0	1
266	30	28	26	27	15	0	0	1	1	4	1	0	0	1	0
267	30	28	26	27	15	1	1	0	2	4	0	1	1	0	1
268	31	28	26	27	15	0	1	1	1	4	1	1	0	1	0
269	31	28	26	27	15	1	0	1	1	4	1	1	1	0	0
270	31	28	26	28	15	1	1	0	1	5	1	1	0	1	0
271	31	28	26	28	15	1	1	1	1	6	1	0	1	0	0
272	32	28	26	28	15	1	1	2	1	6	0	1	1	0	0
273	33	28	26	28	15	0	1	2	2	6	1	1	0	0	0
274	33	28	26	28	15	1	0	2	3	6	1	0	0	1	0
275	33	28	26	29	15	1	1	1	3	6	0	0	1	0	1
276	33	28	26	29	15	0	1	1	4	6	0	1	0	1	0
277	33	28	26	29	15	0	0	2	4	7	2	0	1	1	0
278	33	28	26	29	15	1	0	1	4	7	1	1	2	0	0
279	33	28	26	29	15	1	1	0	4	7	1	1	1	0	0
280	33	28	27	29	15	1	1	1	3	7	1	1	0	0	0
281	33	28	28	30	15	1	1	1	3	7	1	0	0	1	0
282	33	28	29	30	15	1	1	1	3	7	0	1	1	0	0
283	33	28	29	30	15	0	2	1	3	7	1	1	0	0	0
284	33	28	29	30	15	1	1	1	3	7	2	0	0	0	0
285	33	28	29	30	15	1	1	1	3	7	1	0	0	0	1
286	33	28	29	30	15	2	1	2	3	8	0	0	0	1	0
287	33	28	29	30	16	1	1	2	3	9	0	0	1	0	0
288	33	28	29	30	16	0	2	2	3	9	0	1	0	0	0
289	33	28	29	30	16	0	1	2	3	9	1	0	0	0	0
290	34	28	29	30	16	1	0	2	3	9	1	0	0	0	0
