chip_id	generated	forwarded	local_drops	passthrough_drops	total_drops	enq_local_ok	enq_neigh_ok	fifo_peak_observed
0	993	9994	0	929	929	993	9065	64
1	995	9994	0	931	931	995	9063	64
2	953	9994	0	890	890	953	9105	64
3	925	9995	0	862	862	925	9134	64
4	1059	9996	0	990	990	1059	9001	64
5	981	5972	0	0	0	981	4991	7
6	1052	7024	0	0	0	1052	5972	7
7	1046	8070	0	0	0	1046	7024	10
8	978	9047	0	0	0	978	8070	20
9	1000	9991	0	42	42	1000	9005	64
10	1017	4991	0	0	0	1017	3974	5
11	958	3974	0	0	0	958	3016	4
12	1009	3016	0	0	0	1009	2007	4
13	1040	2007	0	0	0	1040	967	3
14	967	967	0	0	0	967	0	1
