chip_id	generated	forwarded	local_drops	passthrough_drops	total_drops	enq_local_ok	enq_neigh_ok	fifo_peak_observed
0	5068	49994	0	4940	4940	5068	45054	128
1	4970	49994	0	4842	4842	4970	45152	128
2	4926	49994	0	4799	4799	4926	45196	128
3	4978	49995	0	4851	4851	4978	45145	128
4	4910	49996	0	4614	4614	4910	45214	128
5	4891	29919	0	0	0	4891	25028	8
6	5072	34991	0	0	0	5072	29919	11
7	4974	39963	0	0	0	4974	34991	22
8	5029	44990	0	0	0	5029	39963	27
9	4928	49828	0	56	56	4928	44934	128
10	5069	25028	0	0	0	5069	19959	5
11	4898	19959	0	0	0	4898	15062	4
12	4970	15062	0	0	0	4970	10092	4
13	5124	10092	0	0	0	5124	4968	4
14	4968	4968	0	0	0	4968	0	1
