run	delivered_tx	total_drops	cycles_per_sec	per_chip_drops	trace_run_dir
1	261827	0	2254.645	0:0,1:0,2:0,3:0,4:0,5:0,6:0,7:0,8:0,9:0,10:0,11:0,12:0,13:0,14:0	./traces/determinism_3x5/run_1772647234_2134468
2	261827	0	2254.716	0:0,1:0,2:0,3:0,4:0,5:0,6:0,7:0,8:0,9:0,10:0,11:0,12:0,13:0,14:0	./traces/determinism_3x5/run_1772647257_2135298
3	261827	0	2234.008	0:0,1:0,2:0,3:0,4:0,5:0,6:0,7:0,8:0,9:0,10:0,11:0,12:0,13:0,14:0	./traces/determinism_3x5/run_1772647280_2136212
4	261827	0	2236.643	0:0,1:0,2:0,3:0,4:0,5:0,6:0,7:0,8:0,9:0,10:0,11:0,12:0,13:0,14:0	./traces/determinism_3x5/run_1772647304_2137268
5	261827	0	2234.804	0:0,1:0,2:0,3:0,4:0,5:0,6:0,7:0,8:0,9:0,10:0,11:0,12:0,13:0,14:0	./traces/determinism_3x5/run_1772647327_2138089
6	261827	0	2239.007	0:0,1:0,2:0,3:0,4:0,5:0,6:0,7:0,8:0,9:0,10:0,11:0,12:0,13:0,14:0	./traces/determinism_3x5/run_1772647350_2138930
7	261827	0	2218.085	0:0,1:0,2:0,3:0,4:0,5:0,6:0,7:0,8:0,9:0,10:0,11:0,12:0,13:0,14:0	./traces/determinism_3x5/run_1772647373_2139845
8	261827	0	2213.350	0:0,1:0,2:0,3:0,4:0,5:0,6:0,7:0,8:0,9:0,10:0,11:0,12:0,13:0,14:0	./traces/determinism_3x5/run_1772647397_2140661
9	261827	0	2177.173	0:0,1:0,2:0,3:0,4:0,5:0,6:0,7:0,8:0,9:0,10:0,11:0,12:0,13:0,14:0	./traces/determinism_3x5/run_1772647420_2141582
10	261827	0	2205.456	0:0,1:0,2:0,3:0,4:0,5:0,6:0,7:0,8:0,9:0,10:0,11:0,12:0,13:0,14:0	./traces/determinism_3x5/run_1772647444_2142493
11	261827	0	2221.340	0:0,1:0,2:0,3:0,4:0,5:0,6:0,7:0,8:0,9:0,10:0,11:0,12:0,13:0,14:0	./traces/determinism_3x5/run_1772647468_2143354
12	261827	0	2231.779	0:0,1:0,2:0,3:0,4:0,5:0,6:0,7:0,8:0,9:0,10:0,11:0,12:0,13:0,14:0	./traces/determinism_3x5/run_1772647491_2144220
13	261827	0	2212.875	0:0,1:0,2:0,3:0,4:0,5:0,6:0,7:0,8:0,9:0,10:0,11:0,12:0,13:0,14:0	./traces/determinism_3x5/run_1772647514_2145077
