time	V(com_o)	V(out)	V(qin)	V(rst)	V(vin)
0.000000000000000e+00	3.444605e-05	-1.393473e-02	1.583653e-17	-4.708384e-01	0.000000e+00
6.000000000007735e-08	3.444608e-05	-1.393370e-02	1.583936e-17	-4.708384e-01	0.000000e+00
7.000000000012638e-08	3.444608e-05	-1.393353e-02	1.583985e-17	-4.708384e-01	0.000000e+00
2.000000000000049e-07	3.444615e-05	-1.393132e-02	1.584386e-17	-4.708384e-01	0.000000e+00
2.100000000000539e-07	3.444616e-05	-1.393115e-02	1.584420e-17	-4.708384e-01	0.000000e+00
2.314285714286375e-07	3.444617e-05	-1.393079e-02	1.584453e-17	-4.708384e-01	0.000000e+00
2.528571428572210e-07	3.444618e-05	-1.393042e-02	1.584497e-17	-4.708384e-01	0.000000e+00
2.742857142858046e-07	3.444619e-05	-1.393006e-02	1.584552e-17	-4.708384e-01	0.000000e+00
2.957142857143882e-07	3.444620e-05	-1.392969e-02	1.584617e-17	-4.708384e-01	0.000000e+00
3.171428571429718e-07	3.444621e-05	-1.392933e-02	1.584694e-17	-4.708384e-01	0.000000e+00
3.385714285715553e-07	3.444622e-05	-1.392896e-02	1.584781e-17	-4.708384e-01	0.000000e+00
3.600000000001389e-07	3.444623e-05	-1.392860e-02	1.584880e-17	-4.708384e-01	0.000000e+00
3.700000000001879e-07	3.444624e-05	-1.392843e-02	1.584921e-17	-4.708384e-01	0.000000e+00
3.885714285715991e-07	3.444625e-05	-1.392811e-02	1.584965e-17	-4.708384e-01	0.000000e+00
4.071428571430103e-07	3.444626e-05	-1.392780e-02	1.585012e-17	-4.708384e-01	0.000000e+00
4.257142857144215e-07	3.444627e-05	-1.392748e-02	1.585062e-17	-4.708384e-01	0.000000e+00
4.442857142858327e-07	3.444628e-05	-1.392717e-02	1.585117e-17	-4.708384e-01	0.000000e+00
4.628571428572439e-07	3.444629e-05	-1.392685e-02	1.585175e-17	-4.708384e-01	0.000000e+00
4.814285714286552e-07	3.444630e-05	-1.392653e-02	1.585236e-17	-4.708384e-01	0.000000e+00
5.000000000000664e-07	3.444630e-05	-1.392622e-02	1.585301e-17	-4.708384e-01	0.000000e+00
5.100000000001154e-07	3.444631e-05	-1.392605e-02	1.585351e-17	-4.708384e-01	0.000000e+00
5.314285714286835e-07	3.444632e-05	-1.392568e-02	1.585384e-17	-4.708384e-01	0.000000e+00
5.528571428572516e-07	3.444633e-05	-1.392532e-02	1.585427e-17	-4.708384e-01	0.000000e+00
5.742857142858196e-07	3.444634e-05	-1.392496e-02	1.585481e-17	-4.708384e-01	0.000000e+00
5.957142857143877e-07	3.444635e-05	-1.392459e-02	1.585545e-17	-4.708384e-01	0.000000e+00
6.171428571429558e-07	3.444637e-05	-1.392423e-02	1.585619e-17	-4.708384e-01	0.000000e+00
6.385714285715239e-07	3.444638e-05	-1.392386e-02	1.585703e-17	-4.708384e-01	0.000000e+00
6.600000000000919e-07	3.444639e-05	-1.392350e-02	1.585798e-17	-4.708384e-01	0.000000e+00
6.700000000001410e-07	3.444639e-05	-1.392333e-02	1.585848e-17	-4.708384e-01	0.000000e+00
6.885714285715522e-07	3.444640e-05	-1.392301e-02	1.585882e-17	-4.708384e-01	0.000000e+00
7.071428571429634e-07	3.444641e-05	-1.392269e-02	1.585923e-17	-4.708384e-01	0.000000e+00
7.257142857143746e-07	3.444642e-05	-1.392238e-02	1.585973e-17	-4.708384e-01	0.000000e+00
7.442857142857858e-07	3.444643e-05	-1.392206e-02	1.586030e-17	-4.708384e-01	0.000000e+00
7.628571428571970e-07	3.444644e-05	-1.392175e-02	1.586095e-17	-4.708384e-01	0.000000e+00
7.814285714286082e-07	3.444645e-05	-1.392143e-02	1.586168e-17	-4.708384e-01	0.000000e+00
8.000000000000194e-07	3.444646e-05	-1.392112e-02	1.586249e-17	-4.708384e-01	0.000000e+00
8.100000000000685e-07	3.444646e-05	-1.392095e-02	1.586283e-17	-4.708384e-01	0.000000e+00
8.314285714286520e-07	3.444648e-05	-1.392058e-02	1.586316e-17	-4.708384e-01	0.000000e+00
8.528571428572357e-07	3.444649e-05	-1.392022e-02	1.586359e-17	-4.708384e-01	0.000000e+00
8.742857142858192e-07	3.444650e-05	-1.391985e-02	1.586414e-17	-4.708384e-01	0.000000e+00
8.957142857144027e-07	3.444651e-05	-1.391949e-02	1.586480e-17	-4.708384e-01	0.000000e+00
9.171428571429864e-07	3.444652e-05	-1.391912e-02	1.586556e-17	-4.708384e-01	0.000000e+00
9.385714285715699e-07	3.444653e-05	-1.391876e-02	1.586644e-17	-4.708384e-01	0.000000e+00
9.600000000001534e-07	3.444654e-05	-1.391840e-02	1.586742e-17	-4.708384e-01	0.000000e+00
9.700000000002025e-07	3.444655e-05	-1.391822e-02	1.586783e-17	-4.708384e-01	0.000000e+00
9.885714285716137e-07	3.444656e-05	-1.391791e-02	1.586827e-17	-4.708384e-01	0.000000e+00
1.007142857143025e-06	3.444657e-05	-1.391759e-02	1.586874e-17	-4.708384e-01	0.000000e+00
1.025714285714436e-06	3.444658e-05	-1.391728e-02	1.586925e-17	-4.708384e-01	0.000000e+00
1.044285714285847e-06	3.444659e-05	-1.391696e-02	1.586979e-17	-4.708384e-01	0.000000e+00
1.062857142857259e-06	3.444660e-05	-1.391665e-02	1.587037e-17	-4.708384e-01	0.000000e+00
1.081428571428670e-06	3.444661e-05	-1.391633e-02	1.587098e-17	-4.708384e-01	0.000000e+00
1.100000000000081e-06	3.444662e-05	-1.391601e-02	1.587164e-17	-4.708384e-01	0.000000e+00
1.110000000000130e-06	3.444662e-05	-1.391584e-02	1.587213e-17	-4.708384e-01	0.000000e+00
1.131428571428698e-06	3.444663e-05	-1.391548e-02	1.587246e-17	-4.708384e-01	0.000000e+00
1.152857142857266e-06	3.444664e-05	-1.391512e-02	1.587289e-17	-4.708384e-01	0.000000e+00
1.174285714285834e-06	3.444666e-05	-1.391475e-02	1.587343e-17	-4.708384e-01	0.000000e+00
1.195714285714402e-06	3.444667e-05	-1.391439e-02	1.587407e-17	-4.708384e-01	0.000000e+00
1.217142857142970e-06	3.444668e-05	-1.391402e-02	1.587481e-17	-4.708384e-01	0.000000e+00
1.238571428571538e-06	3.444669e-05	-1.391366e-02	1.587565e-17	-4.708384e-01	0.000000e+00
1.260000000000107e-06	3.444670e-05	-1.391329e-02	1.587660e-17	-4.708384e-01	0.000000e+00
1.270000000000156e-06	3.444670e-05	-1.391312e-02	1.587710e-17	-4.708384e-01	0.000000e+00
1.288571428571567e-06	3.444671e-05	-1.391281e-02	1.587744e-17	-4.708384e-01	0.000000e+00
1.307142857142978e-06	3.444672e-05	-1.391249e-02	1.587786e-17	-4.708384e-01	0.000000e+00
1.325714285714389e-06	3.444673e-05	-1.391218e-02	1.587835e-17	-4.708384e-01	0.000000e+00
1.344285714285800e-06	3.444674e-05	-1.391186e-02	1.587893e-17	-4.708384e-01	0.000000e+00
1.362857142857212e-06	3.444675e-05	-1.391155e-02	1.587958e-17	-4.708384e-01	0.000000e+00
1.381428571428623e-06	3.444676e-05	-1.391123e-02	1.588030e-17	-4.708384e-01	0.000000e+00
1.400000000000034e-06	3.444677e-05	-1.391091e-02	1.588111e-17	-4.708384e-01	0.000000e+00
1.410000000000083e-06	3.444678e-05	-1.391074e-02	1.588145e-17	-4.708384e-01	0.000000e+00
1.431428571428651e-06	3.444679e-05	-1.391038e-02	1.588178e-17	-4.708384e-01	0.000000e+00
1.452857142857219e-06	3.444680e-05	-1.391002e-02	1.588222e-17	-4.708384e-01	0.000000e+00
1.474285714285787e-06	3.444681e-05	-1.390965e-02	1.588276e-17	-4.708384e-01	0.000000e+00
1.495714285714355e-06	3.444682e-05	-1.390929e-02	1.588342e-17	-4.708384e-01	0.000000e+00
1.517142857142923e-06	3.444683e-05	-1.390892e-02	1.588418e-17	-4.708384e-01	0.000000e+00
1.538571428571492e-06	3.444684e-05	-1.390856e-02	1.588506e-17	-4.708384e-01	0.000000e+00
1.560000000000060e-06	3.444685e-05	-1.390820e-02	1.588604e-17	-4.708384e-01	0.000000e+00
1.570000000000109e-06	3.444686e-05	-1.390802e-02	1.588646e-17	-4.708384e-01	0.000000e+00
1.588571428571520e-06	3.444687e-05	-1.390771e-02	1.588689e-17	-4.708384e-01	0.000000e+00
1.607142857142931e-06	3.444688e-05	-1.390739e-02	1.588736e-17	-4.708384e-01	0.000000e+00
1.625714285714342e-06	3.444689e-05	-1.390708e-02	1.588787e-17	-4.708384e-01	0.000000e+00
1.644285714285753e-06	3.444690e-05	-1.390676e-02	1.588841e-17	-4.708384e-01	0.000000e+00
1.662857142857165e-06	3.444691e-05	-1.390645e-02	1.588899e-17	-4.708384e-01	0.000000e+00
1.681428571428576e-06	3.444692e-05	-1.390613e-02	1.588961e-17	-4.708384e-01	0.000000e+00
1.699999999999987e-06	3.444693e-05	-1.390582e-02	1.589026e-17	-4.708384e-01	0.000000e+00
1.710000000000036e-06	3.444693e-05	-1.390565e-02	1.589075e-17	-4.708384e-01	0.000000e+00
1.731428571428620e-06	3.444694e-05	-1.390528e-02	1.589108e-17	-4.708384e-01	0.000000e+00
1.752857142857203e-06	3.444695e-05	-1.390492e-02	1.589152e-17	-4.708384e-01	0.000000e+00
1.774285714285787e-06	3.444696e-05	-1.390455e-02	1.589205e-17	-4.708384e-01	0.000000e+00
1.795714285714370e-06	3.444698e-05	-1.390419e-02	1.589269e-17	-4.708384e-01	0.000000e+00
1.817142857142954e-06	3.444699e-05	-1.390383e-02	1.589343e-17	-4.708384e-01	0.000000e+00
1.838571428571538e-06	3.444700e-05	-1.390346e-02	1.589428e-17	-4.708384e-01	0.000000e+00
1.860000000000121e-06	3.444701e-05	-1.390310e-02	1.589522e-17	-4.708384e-01	0.000000e+00
1.870000000000170e-06	3.444702e-05	-1.390293e-02	1.589572e-17	-4.708384e-01	0.000000e+00
1.888571428571581e-06	3.444703e-05	-1.390261e-02	1.589606e-17	-4.708384e-01	0.000000e+00
1.907142857142993e-06	3.444704e-05	-1.390230e-02	1.589648e-17	-4.708384e-01	0.000000e+00
