time	V(gate)	V(out)	V(rst)	I(V9)
0.000000000000000e+000	-4.703681e-001	4.240999e-003	-4.708384e-001	2.599581e-014
1.000000000000000e-006	-4.703681e-001	4.240999e-003	-4.708384e-001	2.599581e-014
1.004951569163068e-006	-4.703681e-001	4.240999e-003	-4.708384e-001	2.599581e-014
1.004997438445123e-006	-4.703681e-001	4.240999e-003	-4.708384e-001	2.599581e-014
1.005013217731396e-006	-4.703681e-001	4.240999e-003	-4.708384e-001	2.599581e-014
1.005034760024942e-006	-4.703681e-001	4.240999e-003	-4.708384e-001	2.599581e-014
1.005036278241473e-006	-4.703681e-001	4.240999e-003	-4.708384e-001	2.599581e-014
1.005039314674535e-006	-4.703681e-001	4.240999e-003	-4.708384e-001	2.599581e-014
1.005045387540660e-006	-4.703681e-001	4.240999e-003	-4.708384e-001	2.599581e-014
1.005057533272909e-006	-4.703681e-001	4.240999e-003	-4.708384e-001	2.599581e-014
1.005071021232342e-006	-4.703680e-001	4.240999e-003	-4.708384e-001	2.599581e-014
1.005083736416561e-006	-4.703680e-001	4.240999e-003	-4.708384e-001	2.599581e-014
1.005098054629410e-006	-4.703680e-001	4.240999e-003	-4.708384e-001	2.599582e-014
1.005113400441912e-006	-4.703679e-001	4.240999e-003	-4.708382e-001	2.599582e-014
1.005132455475350e-006	-4.703676e-001	4.240999e-003	-4.708380e-001	2.599583e-014
1.005154187871368e-006	-4.703668e-001	4.240999e-003	-4.708372e-001	2.599586e-014
1.005180842920449e-006	-4.703647e-001	4.240999e-003	-4.708351e-001	2.599594e-014
1.005211952649275e-006	-4.703590e-001	4.240999e-003	-4.708293e-001	2.599615e-014
1.005250089828879e-006	-4.703428e-001	4.240999e-003	-4.708131e-001	2.599675e-014
1.005295779428076e-006	-4.702973e-001	4.240999e-003	-4.707676e-001	2.599842e-014
1.005352708718827e-006	-4.701646e-001	4.240999e-003	-4.706347e-001	2.600332e-014
1.005423746429796e-006	-4.697701e-001	4.240999e-003	-4.702397e-001	2.601786e-014
1.005516925046686e-006	-4.685093e-001	4.240999e-003	-4.689774e-001	2.606431e-014
1.005646245171648e-006	-4.647078e-001	4.240999e-003	-4.651714e-001	2.620431e-014
1.005779738405445e-006	-4.570284e-001	4.240999e-003	-4.574835e-001	2.648700e-014
1.005943587013356e-006	-4.412268e-001	4.241000e-003	-4.416651e-001	2.706837e-014
1.006154378996825e-006	-4.135286e-001	4.241001e-003	-4.139384e-001	2.808681e-014
1.006393370996229e-006	-3.774132e-001	4.241002e-003	-3.777867e-001	2.941390e-014
1.006621578646526e-006	-3.400113e-001	4.241003e-003	-3.403471e-001	3.078744e-014
1.006879942739724e-006	-2.930717e-001	4.241004e-003	-2.933601e-001	3.251033e-014
1.007150318371328e-006	-2.384275e-001	4.241005e-003	-2.386609e-001	3.451495e-014
1.007433029960964e-006	-1.766202e-001	4.241005e-003	-1.767916e-001	3.678099e-014
1.007711965131493e-006	-1.124233e-001	4.241004e-003	-1.125304e-001	3.913300e-014
1.008029923271196e-006	-3.692358e-002	4.241002e-003	-3.695520e-002	4.189694e-014
1.008396019494251e-006	5.104350e-002	4.240996e-003	5.109971e-002	4.511568e-014
1.008852485305278e-006	1.589150e-001	4.240981e-003	1.590788e-001	4.909637e-014
1.009323498770614e-006	2.655434e-001	4.240955e-003	2.658133e-001	5.316668e-014
1.009469902833085e-006	2.960165e-001	4.240944e-003	2.963165e-001	5.454859e-014
1.009707191875057e-006	3.396028e-001	4.240922e-003	3.399461e-001	5.752754e-014
1.010000000000000e-006	3.878897e-001	4.240890e-003	3.882809e-001	6.234453e-014
1.010029280812494e-006	3.918336e-001	4.240887e-003	3.922287e-001	6.308226e-014
1.010087842437483e-006	3.993686e-001	4.240880e-003	3.997713e-001	6.470334e-014
1.010204965687460e-006	4.126890e-001	4.240865e-003	4.131048e-001	6.841129e-014
1.010439212187414e-006	4.328628e-001	4.240831e-003	4.332981e-001	7.611295e-014
1.010826385166492e-006	4.531611e-001	4.240752e-003	4.536153e-001	8.632527e-014
1.011096220185939e-006	4.576464e-001	4.240675e-003	4.581041e-001	8.896187e-014
1.011433646837813e-006	4.530246e-001	4.240553e-003	4.534767e-001	8.629007e-014
1.011774210447688e-006	4.422415e-001	4.240402e-003	4.426824e-001	8.051181e-014
1.012117262268894e-006	4.279104e-001	4.240219e-003	4.283369e-001	7.418610e-014
1.012481652350499e-006	4.115143e-001	4.239990e-003	4.119246e-001	6.872396e-014
1.012902910881437e-006	3.930754e-001	4.239674e-003	3.934674e-001	6.431018e-014
1.013320644603939e-006	3.765405e-001	4.239299e-003	3.769162e-001	6.148678e-014
1.013769519844596e-006	3.616069e-001	4.238824e-003	3.619678e-001	5.961421e-014
1.014229771372509e-006	3.497781e-001	4.238258e-003	3.501275e-001	5.843719e-014
1.014638496872639e-006	3.424666e-001	4.237687e-003	3.428088e-001	5.781109e-014
1.014946998975060e-006	3.392951e-001	4.237216e-003	3.396342e-001	5.755726e-014
1.015311404890557e-006	3.380972e-001	4.236615e-003	3.384352e-001	5.745515e-014
1.015738144745338e-006	3.395168e-001	4.235854e-003	3.398564e-001	5.754514e-014
1.016480920532093e-006	3.457570e-001	4.234393e-003	3.461030e-001	5.799923e-014
1.016872774663560e-006	3.500833e-001	4.233557e-003	3.504336e-001	5.834313e-014
1.017285973769963e-006	3.548558e-001	4.232632e-003	3.552109e-001	5.875618e-014
1.017712876750571e-006	3.591660e-001	4.231632e-003	3.595253e-001	5.915768e-014
1.018136082146803e-006	3.624989e-001	4.230601e-003	3.628615e-001	5.948847e-014
1.018536634880076e-006	3.646709e-001	4.229592e-003	3.650357e-001	5.971441e-014
1.018897577857683e-006	3.658353e-001	4.228657e-003	3.662012e-001	5.983878e-014
1.019169185143962e-006	3.662159e-001	4.227938e-003	3.665822e-001	5.987921e-014
1.019489115290270e-006	3.661560e-001	4.227076e-003	3.665222e-001	5.987052e-014
1.020047917794427e-006	3.653860e-001	4.225535e-003	3.657514e-001	5.978160e-014
1.020426518966720e-006	3.645563e-001	4.224467e-003	3.649208e-001	5.968819e-014
1.020832169138214e-006	3.634967e-001	4.223302e-003	3.638601e-001	5.957110e-014
1.021274796316973e-006	3.623619e-001	4.222011e-003	3.627242e-001	5.944779e-014
1.021725984615373e-006	3.613497e-001	4.220674e-003	3.617111e-001	5.933928e-014
1.022159125005935e-006	3.605895e-001	4.219372e-003	3.609501e-001	5.925828e-014
1.022562531799128e-006	3.600980e-001	4.218146e-003	3.604581e-001	5.920566e-014
1.022920113821498e-006	3.598354e-001	4.217048e-003	3.601952e-001	5.917690e-014
1.023494380499799e-006	3.597490e-001	4.215266e-003	3.601088e-001	5.916512e-014
1.024065501279943e-006	3.599225e-001	4.213474e-003	3.602824e-001	5.918019e-014
1.024451403695969e-006	3.601142e-001	4.212253e-003	3.604744e-001	5.919830e-014
1.024873954742058e-006	3.603691e-001	4.210907e-003	3.607295e-001	5.922326e-014
1.025320323075128e-006	3.606344e-001	4.209477e-003	3.609951e-001	5.924987e-014
1.025769040157408e-006	3.608676e-001	4.208032e-003	3.612284e-001	5.927380e-014
1.026200179295923e-006	3.610420e-001	4.206636e-003	3.614031e-001	5.929227e-014
1.026603326890794e-006	3.611545e-001	4.205326e-003	3.615156e-001	5.930475e-014
1.027241541843821e-006	3.612346e-001	4.203241e-003	3.615958e-001	5.931518e-014
1.028122182842511e-006	3.611896e-001	4.200349e-003	3.615507e-001	5.931491e-014
1.028494326234622e-006	3.611462e-001	4.199121e-003	3.615074e-001	5.931264e-014
1.028912550951439e-006	3.610880e-001	4.197738e-003	3.614490e-001	5.930941e-014
1.029357968285778e-006	3.610272e-001	4.196262e-003	3.613882e-001	5.930640e-014
1.029803555052265e-006	3.609741e-001	4.194782e-003	3.613351e-001	5.930447e-014
1.030229286903451e-006	3.609346e-001	4.193366e-003	3.612955e-001	5.930404e-014
1.031461870454673e-006	3.608912e-001	4.189250e-003	3.612521e-001	5.931168e-014
1.032580835368327e-006	3.609124e-001	4.185498e-003	3.612733e-001	5.932672e-014
1.033476773278476e-006	3.609404e-001	4.182485e-003	3.613013e-001	5.934119e-014
1.035195499682694e-006	3.609686e-001	4.176685e-003	3.613296e-001	5.936942e-014
1.037478037860856e-006	3.609588e-001	4.168947e-003	3.613198e-001	5.940756e-014
1.053552603880733e-006	3.609564e-001	4.113192e-003	3.613174e-001	5.987530e-014
1.069627169900611e-006	3.609547e-001	4.056203e-003	3.613157e-001	6.037257e-014
1.085701735920489e-006	3.609535e-001	3.997979e-003	3.613145e-001	6.089937e-014
1.101776301940367e-006	3.609530e-001	3.938522e-003	3.613139e-001	6.145569e-014
1.117850867960244e-006	3.609530e-001	3.877831e-003	3.613140e-001	6.204153e-014
1.133925433980122e-006	3.609536e-001	3.815906e-003	3.613146e-001	6.265690e-014
1.150000000000000e-006	3.609548e-001	3.752747e-003	3.613158e-001	6.330179e-014
1.157068409206903e-006	3.609548e-001	3.724753e-003	3.613158e-001	6.356354e-014
1.160000000000000e-006	3.609548e-001	3.713085e-003	3.613158e-001	6.367163e-014
1.160293159079310e-006	3.609548e-001	3.711916e-003	3.613158e-001	6.368264e-014
1.160879477237929e-006	3.609548e-001	3.709577e-003	3.613158e-001	6.370439e-014
1.170000000000000e-006	3.609548e-001	3.673024e-003	3.613158e-001	6.404056e-014
1.300000000000000e-006	3.609548e-001	3.116790e-003	3.613158e-001	6.869678e-014
1.304951787533322e-006	3.609548e-001	3.094325e-003	3.613158e-001	6.886916e-014
1.304998035409008e-006	3.609548e-001	3.094115e-003	3.613158e-001	6.887076e-014
1.305014175578298e-006	3.609548e-001	3.094042e-003	3.613158e-001	6.887133e-014
1.305035187720508e-006	3.609548e-001	3.093946e-003	3.613158e-001	6.887206e-014
1.305047044353216e-006	3.609548e-001	3.093892e-003	3.613158e-001	6.887247e-014
1.305058873040300e-006	3.609548e-001	3.093838e-003	3.613158e-001	6.887289e-014
1.305070849121172e-006	3.609548e-001	3.093784e-003	3.613158e-001	6.887330e-014
1.305082986960937e-006	3.609548e-001	3.093729e-003	3.613157e-001	6.887372e-014
1.305097464521668e-006	3.609548e-001	3.093663e-003	3.613157e-001	6.887422e-014
1.305112569826284e-006	3.609547e-001	3.093594e-003	3.613157e-001	6.887474e-014
1.305131630711472e-006	3.609546e-001	3.093508e-003	3.613155e-001	6.887539e-014
1.305152984278955e-006	3.609542e-001	3.093411e-003	3.613151e-001	6.887609e-014
1.305179455802911e-006	3.609531e-001	3.093290e-003	3.613140e-001	6.887690e-014
1.305221253252212e-006	3.609495e-001	3.093100e-003	3.613104e-001	6.887798e-014
1.305262250766303e-006	3.609371e-001	3.092914e-003	3.612981e-001	6.887814e-014
1.305314324054935e-006	3.608983e-001	3.092677e-003	3.612592e-001	6.887597e-014
1.305371734661519e-006	3.607965e-001	3.092416e-003	3.611573e-001	6.886755e-014
1.305454035129675e-006	3.604506e-001	3.092042e-003	3.608109e-001	6.883523e-014
1.305552355154538e-006	3.595071e-001	3.091595e-003	3.598664e-001	6.874434e-014
1.305677417201770e-006	3.570875e-001	3.091026e-003	3.574440e-001	6.851526e-014
1.305815808446943e-006	3.525748e-001	3.090396e-003	3.529266e-001	6.811243e-014
1.305997489634036e-006	3.437145e-001	3.089569e-003	3.440571e-001	6.740408e-014
1.306214630076530e-006	3.265778e-001	3.088580e-003	3.269024e-001	6.627651e-014
1.306454497654014e-006	2.946883e-001	3.087487e-003	2.949797e-001	6.460154e-014
1.306689783288270e-006	2.487109e-001	3.086414e-003	2.489551e-001	6.260436e-014
1.306959368301291e-006	1.843239e-001	3.085185e-003	1.845030e-001	6.010888e-014
1.307246171016975e-006	1.104954e-001	3.083878e-003	1.106004e-001	5.736562e-014
1.307523939857291e-006	3.737499e-002	3.082613e-003	3.740667e-002	5.467606e-014
1.307818967061634e-006	-4.037507e-002	3.081271e-003	-4.042126e-002	5.182276e-014
1.308162282912280e-006	-1.299262e-001	3.079711e-003	-1.300620e-001	4.854030e-014
1.308554293286898e-006	-2.294683e-001	3.077935e-003	-2.297037e-001	4.489632e-014
1.309027154518989e-006	-3.422198e-001	3.075802e-003	-3.425677e-001	4.077549e-014
