time	V(out)	V(rst)	V(vin)
0.000000000000000e+000	-7.547666e-001	-8.006188e-001	0.000000e+000
9.733070927305529e-006	-7.540273e-001	-8.006188e-001	0.000000e+000
9.772229171109729e-006	-7.540244e-001	-8.006188e-001	0.000000e+000
9.773099323518922e-006	-7.540243e-001	-8.006188e-001	-1.740305e-002
9.776579933155679e-006	-7.540229e-001	-8.006188e-001	-8.701524e-002
9.781220746004694e-006	-7.540036e-001	-8.006188e-001	-1.798315e-001
9.790502371702709e-006	-7.538082e-001	-8.006188e-001	-3.654640e-001
9.807341706818666e-006	-7.526674e-001	-8.006188e-001	-7.022507e-001
9.822968288680195e-006	-7.506148e-001	-8.006188e-001	-1.014782e+000
9.847562027419046e-006	-7.454492e-001	-8.006188e-001	-1.506657e+000
9.861968183888455e-006	-7.413252e-001	-8.006188e-001	-1.794780e+000
9.872229171109732e-006	-7.378954e-001	-8.006188e-001	-2.000000e+000
9.873255269831862e-006	-7.375280e-001	-8.006188e-001	-2.000000e+000
9.875307467276123e-006	-7.367853e-001	-8.006188e-001	-2.000000e+000
9.879411862164631e-006	-7.352598e-001	-8.006188e-001	-2.000000e+000
9.887620651941647e-006	-7.321131e-001	-8.006188e-001	-2.000000e+000
9.904038231495693e-006	-7.257261e-001	-8.006188e-001	-2.000000e+000
9.918876272871452e-006	-7.199700e-001	-8.006188e-001	-2.000000e+000
9.940364589530282e-006	-7.116910e-001	-8.006188e-001	-2.000000e+000
9.963101319653391e-006	-7.030121e-001	-8.006188e-001	-2.000000e+000
1.005451875574915e-005	-6.690884e-001	-8.006188e-001	-2.000000e+000
1.015802573854130e-005	-6.325108e-001	-8.006188e-001	-2.000000e+000
1.036503970412558e-005	-5.647729e-001	-8.006188e-001	-2.000000e+000
1.069437198655330e-005	-4.703194e-001	-8.006188e-001	-2.000000e+000
1.120234172709290e-005	-3.512922e-001	-8.006188e-001	-2.000000e+000
1.188013495774451e-005	-2.313876e-001	-8.006188e-001	-2.000000e+000
1.257867882892436e-005	-1.417341e-001	-8.006188e-001	-2.000000e+000
1.323220696817090e-005	-7.960718e-002	-8.006188e-001	-2.000000e+000
1.384654553009861e-005	-3.460782e-002	-8.006188e-001	-2.000000e+000
1.390144722744105e-005	-3.110184e-002	-8.006188e-001	-2.000000e+000
1.395634892478349e-005	-2.766069e-002	-8.006188e-001	-2.000000e+000
1.401125062212593e-005	-2.428438e-002	-8.006188e-001	-2.000000e+000
1.406615231946837e-005	-2.097291e-002	-8.006188e-001	-2.000000e+000
